flight,sector,eto_hour,eto_minute,eto_second
270,pv,06,34,0
270,ugw,06,43,0
271,tpth,06,34,0
272,uh,06,35,0
272,ufxf,06,43,0
273,pv,06,35,0
274,uttup,06,35,0
275,uttup,06,35,0
276,ugw,06,35,0
277,uaus,06,36,0
278,uaus,06,36,0
279,uttup,06,36,0
280,uttup,06,36,0
281,pv,06,37,0
282,ugw,06,38,0
283,ugw,06,38,0
284,pv,06,38,0
285,tpth,06,38,0
286,ufxf,06,38,0
286,uh,06,44,0
287,uttup,06,39,0
288,uttup,06,39,0
289,pv,06,39,0
289,ugw,06,53,0
290,uttup,06,39,0
291,uaus,06,44,0
292,uttup,06,44,0
292,ugw,07,00,0
292,ua,07,16,0
292,uaus,07,16,0
293,uttup,06,44,0
294,uh,06,45,0
294,ufxf,06,53,0
295,uttup,06,45,0
296,ufxf,06,46,0
297,tpth,06,47,0
298,tpth,06,47,0
299,uh,06,47,0
300,tpth,06,48,0
301,uttup,06,48,0
301,ugw,07,03,0
302,uaus,06,50,0
302,ua,07,05,0
302,ugw,07,14,0
302,uttup,07,25,0
302,uttu,07,25,0
303,uh,06,50,0
303,ufxf,07,00,0
304,uaus,06,51,0
305,ugw,06,51,0
305,uttup,07,03,0
305,pv,07,14,0
305,tpth,07,46,0
306,uttup,06,51,0
307,ufxf,06,51,0
308,uaus,06,51,0
308,uh,07,21,0
309,uaus,06,52,0
310,ufxf,06,52,0
310,uh,06,57,0
311,uttup,06,53,0
312,pv,06,53,0
313,ugw,06,53,0
313,uttup,06,58,0
314,uttup,06,54,0
315,uaus,06,54,0
316,uh,06,54,0
316,ufxf,07,01,0
317,ugw,06,54,0
318,uttup,06,54,0
318,ufxf,07,16,0
319,uttup,06,54,0
320,tpth,06,54,0
321,ufxf,06,54,0
321,uh,06,59,0
322,tpth,06,54,0
323,uh,06,55,0
323,ua,07,17,0
323,uaus,07,17,0
324,tpth,06,56,0
325,uh,06,56,0
325,uaus,07,32,0
326,ugw,06,57,0
326,uttup,07,18,0
327,ugw,06,58,0
328,tpth,06,58,0
329,tpth,06,59,0
330,tpth,06,59,0
331,tpth,06,59,0
332,ugw,06,59,0
333,uh,06,59,0
333,ufxf,07,05,0
334,ufxf,06,59,0
334,uh,07,10,0
335,uh,07,00,0
335,ufxf,07,11,0
336,ufxf,07,00,0
336,uh,07,11,0
337,ua,07,01,0
337,uaus,07,01,0
338,ugw,07,01,0
339,ugw,07,01,0
339,uttup,07,22,0
339,uttu,07,22,0
340,pv,07,01,0
341,ua,07,01,0
341,uaus,07,01,0
342,ua,07,01,0
342,uaus,07,01,0
343,uttup,07,01,0
343,uttu,07,01,0
344,uttup,07,01,0
344,uttu,07,15,0
345,uh,07,02,0
345,ufxf,07,14,0
346,ugw,07,02,0
346,pv,07,30,0
347,pv,07,02,0
347,ugw,07,14,0
348,ua,07,02,0
348,uaus,07,02,0
349,tpth,07,02,0
350,uttup,07,03,0
350,uttu,07,03,0
351,uttup,07,03,0
