flight,sector,eto_hour,eto_minute,eto_second
292,ua,07,16,00,
292,uaus,07,16,00,
293,uttup,06,44,00,
294,uh,06,45,00,
294,ufxf,06,53,00,
295,uttup,06,45,00,
296,ufxf,06,46,00,
297,tpth,06,47,00,
298,tpth,06,47,00,
299,uh,06,47,00,
300,tpth,06,48,00,
301,uttup,06,48,00,
301,ugw,07,03,00,
302,uaus,06,50,00,
302,ua,07,05,00,
302,ugw,07,14,00,
302,uttup,07,25,00,
302,uttu,07,25,00,
303,uh,06,50,00,
303,ufxf,07,00,00,
304,uaus,06,51,00,
305,ugw,06,51,00,
305,uttup,07,03,00,
305,pv,07,14,00,
305,tpth,07,46,00,
306,uttup,06,51,00,
307,ufxf,06,51,00,
308,uaus,06,51,00,
308,uh,07,21,00,
309,uaus,06,52,00,
310,ufxf,06,52,00,
310,uh,06,57,00,
311,uttup,06,53,00,
312,pv,06,53,00,
313,ugw,06,53,00,
313,uttup,06,58,00,
314,uttup,06,54,00,
315,uaus,06,54,00,
316,uh,06,54,00,
316,ufxf,07,01,00,
317,ugw,06,54,00,
318,uttup,06,54,00,
318,ufxf,07,16,00,
319,uttup,06,54,00,
320,tpth,06,54,00,
321,ufxf,06,54,00,
321,uh,06,59,00,
322,tpth,06,54,00,
323,uh,06,55,00,
323,ua,07,17,00,
323,uaus,07,17,00,
324,tpth,06,56,00,
325,uh,06,56,00,
325,uaus,07,32,00,
326,ugw,06,57,00,
326,uttup,07,18,00,
327,ugw,06,58,00,
328,tpth,06,58,00,
329,tpth,06,59,00,
330,tpth,06,59,00,
331,tpth,06,59,00,
332,ugw,06,59,00,
333,uh,06,59,00,
333,ufxf,07,05,00,
334,ufxf,06,59,00,
334,uh,07,10,00,
335,uh,07,00,00,
335,ufxf,07,11,00,
336,ufxf,07,00,00,
336,uh,07,11,00,
337,ua,07,01,00,
337,uaus,07,01,00,
338,ugw,07,01,00,
339,ugw,07,01,00,
339,uttup,07,22,00,
339,uttu,07,22,00,
340,pv,07,01,00,
341,ua,07,01,00,
341,uaus,07,01,00,
342,ua,07,01,00,
342,uaus,07,01,00,
343,uttup,07,01,00,
343,uttu,07,01,00,
344,uttup,07,01,00,
344,uttu,07,15,00,
345,uh,07,02,00,
345,ufxf,07,14,00,
346,ugw,07,02,00,
346,pv,07,30,00,
347,pv,07,02,00,
347,ugw,07,14,00,
348,ua,07,02,00,
348,uaus,07,02,00,
349,tpth,07,02,00,
350,uttup,07,03,00,
350,uttu,07,03,00,
351,uttup,07,03,00,
351,ugw,07,21,00,
351,ua,07,39,00,
351,uaus,07,39,00,
352,ugw,07,04,00,
353,uttup,07,04,00,
353,uttu,07,19,00,
354,pv,07,04,00,
354,ugw,07,21,00,
355,ugw,07,05,00,
356,pv,07,05,00,
357,uaus,07,06,00,
358,ua,07,06,00,
358,uaus,07,06,00,
359,pv,07,06,00,
360,ufxf,07,06,00,
361,pv,07,06,00,
362,ufxf,07,06,00,
363,uttup,07,06,00,
363,uttu,07,14,00,
364,pv,07,07,00,
364,ugw,07,17,00,
364,ua,07,42,00,
364,uaus,07,42,00,
365,tpth,07,07,00,
366,tpth,07,09,00,
367,ugw,07,09,00,
368,ua,07,09,00,
368,uaus,07,09,00,
368,ugw,07,30,00,
368,uttup,08,02,00,
368,uttu,08,02,00,
368,ufxf,08,04,00,
368,uh,08,09,00,
369,ufxf,07,11,00,
369,uh,07,27,00,
370,ugw,07,12,00,
371,tpth,07,12,00,
372,ua,07,13,00,
372,uaus,07,13,00,
372,ugw,07,24,00,
372,uttup,07,34,00,
372,uttu,07,34,00,
373,uttup,07,13,00,
373,ugw,07,30,00,
374,uttup,07,13,00,
374,ugw,07,26,00,
375,pv,07,13,00,
376,pv,07,13,00,
377,tpth,07,13,00,
378,ugw,07,14,00,
379,ugw,07,14,00,
380,pv,07,14,00,
380,ugw,07,22,00,
380,ua,07,43,00,
380,uaus,07,43,00,
381,uh,07,15,00,
381,ufxf,07,27,00,
382,ugw,07,15,00,
383,uttup,07,15,00,
383,uttu,07,15,00,
383,ufxf,07,23,00,
384,uttup,07,16,00,
384,uttu,07,28,00,
385,ua,07,16,00,
385,uaus,07,16,00,
386,uh,07,16,00,
387,ufxf,07,17,00,
387,uh,07,31,00,
388,uh,07,17,00,
389,pv,07,17,00,
389,ugw,07,33,00,
390,ugw,07,18,00,
391,tpth,07,18,00,
392,uttup,07,19,00,
392,uttu,07,34,00,
393,uttup,07,19,00,
393,uttu,07,19,00,
394,uttup,07,19,00,
394,uttu,07,19,00,
395,ua,07,20,00,
395,uaus,07,20,00,
395,uh,07,51,00,
396,uh,07,21,00,
397,ua,07,21,00,
397,uaus,07,21,00,
397,ugw,07,33,00,
397,uttup,07,43,00,
397,uttu,07,43,00,
398,tpth,07,21,00,
399,ugw,07,22,00,
400,uaus,07,22,00,
400,uh,08,02,00,
401,tpth,07,23,00,
402,uttup,07,23,00,
402,uttu,07,37,00,
403,tpth,07,23,00,
404,ugw,07,23,00,
405,tpth,07,25,00,
406,tpth,07,25,00,
407,tpth,07,26,00,
408,uttup,07,26,00,
408,uttu,07,41,00,
409,ua,07,26,00,
409,uaus,07,26,00,
410,tpth,07,26,00,
411,pv,07,27,00,
411,ugw,07,36,00,
412,ugw,07,27,00,
412,uttup,07,48,00,
413,pv,07,28,00,
414,ugw,07,29,00,
414,uttup,07,51,00,
414,uttu,07,51,00,
415,tpth,07,29,00,
416,pv,07,29,00,
417,ufxf,07,29,00,
417,uh,07,34,00,
418,ufxf,07,30,00,
419,uh,07,30,00,
419,ugw,08,03,00,
420,uaus,07,30,00,
421,ua,07,31,00,
421,uaus,07,31,00,
422,pv,07,32,00,
423,uh,07,32,00,
424,uttup,07,32,00,
424,uttu,07,46,00,
425,uh,07,32,00,
426,tpth,07,33,00,
427,ufxf,07,33,00,
427,uh,07,38,00,
428,ufxf,07,34,00,
428,uh,07,47,00,
429,uttup,07,35,00,
429,uttu,07,35,00,
430,ufxf,07,35,00,
431,ua,07,36,00,
431,uaus,07,36,00,
432,ufxf,07,36,00,
433,pv,07,36,00,
434,uh,07,36,00,
435,tpth,07,37,00,
436,tpth,07,37,00,
437,uaus,07,38,00,
438,pv,07,38,00,
439,pv,07,39,00,
439,ugw,07,48,00,
439,ua,08,11,00,
439,uaus,08,11,00,
440,uttup,07,39,00,
440,uttu,07,51,00,
441,ugw,07,39,00,
441,ua,07,52,00,
441,uaus,07,52,00,
442,ugw,07,40,00,
443,ufxf,07,40,00,
444,ufxf,07,40,00,
444,uh,07,53,00,
445,ufxf,07,40,00,
446,tpth,07,40,00,
447,pv,07,40,00,
447,ugw,07,56,00,
448,uh,07,40,00,
449,ugw,07,41,00,
449,ua,07,50,00,
449,uaus,07,50,00,
450,ufxf,07,41,00,
450,uttup,07,47,00,
450,uttu,07,47,00,
450,ugw,08,00,00,
451,pv,07,41,00,
451,ugw,07,50,00,
452,ugw,07,41,00,
452,uttup,08,01,00,
452,uttu,08,01,00,
453,ufxf,07,41,00,
453,uh,07,46,00,
454,ufxf,07,42,00,
455,pv,07,42,00,
455,ugw,07,58,00,
455,ua,08,20,00,
455,uaus,08,20,00,
456,uttup,07,42,00,
456,uttu,07,57,00,
457,ua,07,43,00,
457,uaus,07,43,00,
458,uaus,07,43,00,
458,ua,07,58,00,
458,ugw,08,07,00,
458,uttup,08,17,00,
458,uttu,08,17,00,
459,uh,07,43,00,
459,ufxf,07,51,00,
460,uttup,07,44,00,
460,uttu,08,00,00,
461,tpth,07,44,00,
462,ugw,07,44,00,
462,uttup,08,09,00,
462,uttu,08,13,00,
463,tpth,07,44,00,
464,ua,07,45,00,
464,uaus,07,45,00,
465,ua,07,45,00,
465,uaus,07,45,00,
466,tpth,07,45,00,
467,tpth,07,46,00,
468,pv,07,47,00,
469,ua,07,47,00,
469,uaus,07,47,00,
470,uaus,07,47,00,
471,tpth,07,48,00,
472,ufxf,07,50,00,
472,uh,07,57,00,
473,ua,07,51,00,
473,uaus,07,51,00,
473,uh,08,21,00,
474,pv,07,52,00,
475,uh,07,52,00,
476,tpth,07,52,00,
477,pv,07,53,00,
478,ua,07,54,00,
478,uaus,07,54,00,
478,ugw,08,07,00,
478,uttup,08,17,00,
478,uttu,08,17,00,
479,uttup,07,54,00,
479,uttu,08,08,00,
480,ugw,07,54,00,
480,uttup,08,14,00,
480,uttu,08,14,00,
481,uttup,07,55,00,
481,uttu,07,55,00,
482,pv,07,55,00,
483,ua,07,56,00,
483,uaus,07,56,00,
484,ugw,07,56,00,
485,ufxf,07,57,00,
485,uh,08,13,00,
486,uttup,07,57,00,
486,uttu,07,57,00,
487,tpth,07,57,00,
488,uaus,07,57,00,
489,ufxf,07,58,00,
490,ufxf,07,58,00,
490,uh,08,03,00,
491,uttup,07,59,00,
491,uttu,08,15,00,
492,ua,07,59,00,
492,uaus,07,59,00,
492,ugw,08,12,00,
492,uttup,08,25,00,
492,uttu,08,25,00,
493,ua,08,00,00,
493,uaus,08,00,00,
494,pv,08,00,00,
494,ugw,08,09,00,
494,ua,08,30,00,
494,uaus,08,30,00,
495,ugw,08,01,00,
495,uttup,08,22,00,
495,uttu,08,22,00,
496,pv,08,01,00,
497,uttup,08,02,00,
497,uttu,08,13,00,
498,ufxf,08,02,00,
498,uh,08,15,00,
499,uh,08,04,00,
500,ufxf,08,05,00,
500,uh,08,18,00,
501,ufxf,08,05,00,
501,uh,08,17,00,
502,pv,08,05,00,
503,ufxf,08,05,00,
503,uh,08,10,00,
504,uh,08,05,00,
505,pv,08,09,00,
505,ugw,08,18,00,
505,ua,08,40,00,
505,uaus,08,40,00,
506,ugw,08,09,00,
506,uttup,08,33,00,
506,uttu,08,33,00,
507,uttup,08,10,00,
507,uttu,08,24,00,
508,ua,08,11,00,
508,uaus,08,11,00,
509,uh,08,11,00,
509,ugw,08,34,00,
510,pv,08,11,00,
510,ugw,08,27,00,
510,ua,08,50,00,
510,uaus,08,50,00,
511,ua,08,11,00,
511,uaus,08,11,00,
512,uttup,08,12,00,
512,uttu,08,12,00,
513,ugw,08,12,00,
513,ua,08,36,00,
513,uaus,08,36,00,
514,uh,08,14,00,
514,ufxf,08,30,00,
515,uh,08,14,00,
515,ugw,08,37,00,
516,pv,08,14,00,
516,ugw,08,22,00,
516,ua,08,43,00,
516,uaus,08,43,00,
517,uh,08,14,00,
517,ufxf,08,30,00,
518,uh,08,15,00,
518,ua,08,37,00,
518,uaus,08,37,00,
519,uttup,08,16,00,
519,uttu,08,31,00,
520,pv,08,16,00,
521,ua,08,17,00,
521,uaus,08,17,00,
521,uh,08,43,00,
522,uh,08,18,00,
523,uttup,08,19,00,
523,uttu,08,19,00,
524,ugw,08,19,00,
525,ua,08,19,00,
525,uaus,08,19,00,
525,ugw,08,31,00,
525,uttup,08,43,00,
525,uttu,08,43,00,
526,uh,08,20,00,
526,ufxf,08,28,00,
527,pv,08,21,00,
528,uttup,08,22,00,
528,ugw,08,38,00,
529,ua,08,22,00,
529,uaus,08,22,00,
529,ugw,08,32,00,
530,pv,08,22,00,
530,ugw,08,39,00,
531,pv,08,22,00,
531,ugw,08,36,00,
531,ua,08,58,00,
531,uaus,08,58,00,
532,ua,08,23,00,
532,uaus,08,23,00,
533,ua,08,24,00,
533,uaus,08,24,00,
533,uh,08,55,00,
534,ua,08,24,00,
534,uaus,08,24,00,
534,uh,08,52,00,
535,uttup,08,25,00,
535,uttu,08,25,00,
536,ufxf,08,25,00,
